0 1
2 3
3 4
4 5
5 6
6 3
7 8
8 9
9 10
7 9
8 10
7 10
11 12
12 13
13 14
11 14
14 15
13 16
16 15
16 17
15 18
17 18
17 20
19 20
20 21
18 19
19 22
21 22
21 26
22 23
26 25
23 24
26 27
28 29
24 1
25 0
0 35
1 34
35 34
35 32
34 33
32 31
33 30
32 33
31 28
30 31
12 27
30 29
28 27
34 35
36 37
38 39
39 40
40 41
41 42
39 42
43 44
44 45
45 46
45 43
43 46
44 46
48 47
47 50
48 49
49 50
49 52
50 51
52 51
52 53
51 54
54 53
54 55
53 56
56 57
55 58
55 56
57 58
57 62
58 59
59 60
61 62
62 63
61 36
59 60
60 37
36 71
37 70
71 70
71 68
70 69
60 61
69 68
69 66
68 67
67 66
64 67
66 65
64 65
64 63
63 48
-1 
first graph ends at line (34 35)

aa	36ab	37ac	38ad	39ae	40af	41ag	42ah	43ai	44aj	45ak	46b	47c	48d	49e	50f	51g	52h	53i	54j	55k	56l	57m	58n	59o	60p	61q	62r	63s	64t	65u	66v	67w	68x	69y	70z	71

aa	0ab	1ac	2ad	3ae	4af	5ag	6ah	7ai	8aj	9ak	10b	11c	12d	13e	14f	15g	16h	17i	18j	19k	20l	21m	22n	23o	24p	25q	26r	27s	28t	29u	30v	31w	32x	33y	34z	35
